store_id,transaction_id,timestamp,basket_value_inr,department,sub_category
STORE_BLR_001,ML0426KAP0001347,2026-04-10T15:50:44Z,400.0,skin,Lip Balm
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,397.38,makeup,Lip Liner
STORE_BLR_001,ML0426KAP0001346,2026-04-10T15:46:39Z,599.0,makeup,Eyeliner
STORE_BLR_001,ML0426KAP0001403,2026-04-10T19:41:29Z,99.0,skin,Sheet Mask
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,445.5,skin,Face Sunscreen
STORE_BLR_001,ML0426KAP0001358,2026-04-10T16:55:36Z,273.67,hair,Hair Spray
STORE_BLR_001,ML0426KAP0001340,2026-04-10T15:02:20Z,314.8,personal-care,Foot Care
STORE_BLR_001,ML0426KAP0001399,2026-04-10T19:21:55Z,1221.65,makeup,Foundation
STORE_BLR_001,ML0426KAP0001366,2026-04-10T17:44:44Z,299.0,makeup,Lipstick
STORE_BLR_001,ML0426KAP0001333,2026-04-10T13:41:55Z,49.5,skin,Sheet Mask
STORE_BLR_001,ML0426KAP0001358,2026-04-10T16:55:36Z,249.0,fragrance,Deodorant & Roll-On for Women
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,216.42,makeup,Makeup Remover
STORE_BLR_001,ML0426KAP0001393,2026-04-10T19:02:09Z,0.0,bath-and-body,Body & Massage Oil
STORE_BLR_001,ML0426KAP0001333,2026-04-10T13:41:55Z,49.5,skin,Sheet Mask
STORE_BLR_001,ML0426KAP0001353,2026-04-10T16:45:32Z,1278.0,skin,Under eye serum & eye cream
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,1085.03,makeup,Foundation
STORE_BLR_001,ML0426KAP0001399,2026-04-10T19:21:55Z,99.0,skin,Sheet Mask
STORE_BLR_001,ML0426KAP0001374,2026-04-10T18:07:14Z,198.0,makeup,Concealer and Colour Corrector
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,172.8,makeup,Makeup Remover
STORE_BLR_001,ML0426KAP0001418,2026-04-10T20:25:04Z,0.0,bath-and-body,Body & Massage Oil
STORE_BLR_001,ML0426KAP0001401,2026-04-10T19:33:52Z,765.0,skin,Face Wash and Cleanser
STORE_BLR_001,ML0426KAP0001403,2026-04-10T19:41:29Z,49.5,skin,Sheet Mask
STORE_BLR_001,ML0426KAP0001347,2026-04-10T15:50:44Z,0.0,bath-and-body,Body & Massage Oil
STORE_BLR_001,ML0426KAP0001358,2026-04-10T16:55:36Z,188.62,hair,Shampoo
STORE_BLR_001,ML0426KAP0001369,2026-04-10T17:55:02Z,215.67,makeup,Blush
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,288.81,makeup,Lip Gloss
STORE_BLR_001,ML0426KAP0001369,2026-04-10T17:55:02Z,237.31,makeup,Foundation
STORE_BLR_001,ML0426KAP0001358,2026-04-10T16:55:36Z,350.0,skin,Lip Scrub
STORE_BLR_001,ML0426KAP0001369,2026-04-10T17:55:02Z,179.6,makeup,Setting spray  powder & fixer
STORE_BLR_001,ML0426KAP0001438,2026-04-10T21:16:15Z,269.1,skin,Face Sunscreen
STORE_BLR_001,ML0426KAP0001399,2026-04-10T19:21:55Z,599.0,makeup,Blush
STORE_BLR_001,ML0426KAP0001384,2026-04-10T18:41:51Z,615.09,hair,Hair Serum
STORE_BLR_001,ML0426KAP0001399,2026-04-10T19:21:55Z,569.67,makeup,Eyeliner
STORE_BLR_001,ML0426KAP0001408,2026-04-10T19:54:02Z,313.64,makeup,Kajal
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,315.0,skin,Sheet Mask
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,325.0,makeup,Mascara
STORE_BLR_001,ML0426KAP0001393,2026-04-10T19:02:09Z,299.76,makeup,Lipstick
STORE_BLR_001,ML0426KAP0001340,2026-04-10T15:02:20Z,255.34,skin,Night Cream
STORE_BLR_001,ML0426KAP0001393,2026-04-10T19:02:09Z,933.34,makeup,Lipstick
STORE_BLR_001,ML0426KAP0001393,2026-04-10T19:02:09Z,299.76,makeup,Mascara
STORE_BLR_001,ML0426KAP0001401,2026-04-10T19:33:52Z,99.0,makeup,Makeup Remover
STORE_BLR_001,ML0426KAP0001399,2026-04-10T19:21:55Z,0.0,bath-and-body,Body & Massage Oil
STORE_BLR_001,ML0426KAP0001321,2026-04-10T12:15:05Z,491.77,makeup,Setting spray  powder & fixer
STORE_BLR_001,ML0426KAP0001358,2026-04-10T16:55:36Z,240.06,bath-and-body,Body Treatment
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,90.0,skin,Sheet Mask
STORE_BLR_001,ML0426KAP0001369,2026-04-10T17:55:02Z,287.8,makeup,Highlighter & Illuminator
STORE_BLR_001,ML0426KAP0001443,2026-04-10T21:39:55Z,427.5,hair,Hair Serum
STORE_BLR_001,ML0426KAP0001403,2026-04-10T19:41:29Z,1305.0,skin,Serum & Essence
STORE_BLR_001,ML0426KAP0001372,2026-04-10T18:00:18Z,149.0,makeup,Nail Polish Remover
STORE_BLR_001,ML0426KAP0001353,2026-04-10T16:45:32Z,1.0,makeup,Makeup Bag & Organizer
STORE_BLR_001,ML0426KAP0001353,2026-04-10T16:45:32Z,553.17,makeup,Compact
STORE_BLR_001,ML0426KAP0001408,2026-04-10T19:54:02Z,121.5,hair,Hair Brush & Comb
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,614.54,makeup,Lipstick
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,321.0,skin,Face Sunscreen
STORE_BLR_001,ML0426KAP0001399,2026-04-10T19:21:55Z,172.8,makeup,Makeup Remover
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,275.0,makeup,Makeup Remover
STORE_BLR_001,ML0426KAP0001358,2026-04-10T16:55:36Z,291.5,skin,Face Sunscreen
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,578.34,makeup,Concealer and Colour Corrector
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,198.0,skin,Sheet Mask
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,90.0,skin,Sheet Mask
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,0.0,bath-and-body,Body & Massage Oil
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,578.34,makeup,Primer
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,249.0,makeup,Nail Polish
STORE_BLR_001,ML0426KAP0001408,2026-04-10T19:54:02Z,721.65,makeup,Lipstick
STORE_BLR_001,ML0426KAP0001418,2026-04-10T20:25:04Z,449.37,makeup,Foundation
STORE_BLR_001,ML0426KAP0001403,2026-04-10T19:41:29Z,49.5,skin,Sheet Mask
STORE_BLR_001,ML0426KAP0001399,2026-04-10T19:21:55Z,406.67,makeup,Makeup Remover
STORE_BLR_001,ML0426KAP0001336,2026-04-10T13:55:16Z,199.0,personal-care,Face & Eyebrow Razor
STORE_BLR_001,ML0426KAP0001340,2026-04-10T15:02:20Z,244.84,skin,Face Moisturizer and Day Cream
STORE_BLR_001,ML0426KAP0001324,2026-04-10T12:42:18Z,321.38,makeup,Loose Powder
STORE_BLR_001,ML0426KAP0001321,2026-04-10T12:15:05Z,453.88,makeup,Highlighter & Illuminator
STORE_BLR_001,ML0426KAP0001393,2026-04-10T19:02:09Z,296.43,makeup,Loose Powder
STORE_BLR_001,ML0426KAP0001369,2026-04-10T17:55:02Z,359.93,makeup,Lip Liner
